name;artist_id
Habib Koité and Bamada;198
Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker;225
Hermeto Pascoal;47
Heroes;148
Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer;210
House Of Pain;180
Incognito;89
Instituto;190
Iron Maiden;90
Itzhak Perlman;268
JET;93
Jack Johnson;170
Jack's Mannequin & Mick Fleetwood;177
Jackson Browne;165
Jaguares;175
James Brown;91
James Levine;236
Jamiroquai;92
Jimi Hendrix;94
Joe Satriani;95
Jorge Ben;46
Jorge Vercilo;30
Jota Quest;96
João Gilberto;28
João Suplicy;97
Judas Priest;98
Julian Bream;265
Karsh Kale;199
Kent Nagano and Orchestre de l'Opéra de Lyon;264
Kid Abelha;44
Kiss;52
Led Zeppelin;22
Legião Urbana;99
Lenny Kravitz;100
Leonard Bernstein & New York Philharmonic;228
Les Arts Florissants & William Christie;258
London Symphony Orchestra & Sir Charles Mackerras;223
Los Hermanos;187
Los Lonely Boys;162
Lost;149
Luciana Souza/Romero Lubambo;201
Luciano Pavarotti;227
Luiz Melodia;33
Lulu Santos;101
Marcos Valle;24
Marillion;102
Marisa Monte;103
Martin Roscoe;266
Marvin Gaye;104
Matisyahu;173
Maurizio Pollini;238
Mela Tenenbaum, Pro Musica Prague & Richard Kapp;271
Men At Work;105
Metallica;50
Michael Tilson Thomas & San Francisco Symphony;245
Michele Campanella;269
Miles Davis;68
Milton Nascimento;42
Milton Nascimento & Bebeto;25
Motörhead;106
Motörhead & Girlschool;107
Mundo Livre S/A;188
Mônica Marianno;108
Mötley Crüe;109
Nando Reis;34
Nash Ensemble;274
Nação Zumbi;191
Nega Gizza;182
Ney Matogrosso;32
Nicolaus Esterhazy Sinfonia;203
Nirvana;110
O Rappa;36
O Terço;111
Olodum;112
Orchestra of The Age of Enlightenment;234
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner;218
Os Cariocas;40
Os Mutantes;57
Os Paralamas Do Sucesso;113
Otto;189
Otto Klemperer & Philharmonia Orchestra;254
Ozzy Osbourne;114
Page & Plant;115
Passengers;116
Paul D'Ianno;117
Pearl Jam;118
Pedro Luís & A Parede;35
Pedro Luís E A Parede;186
Peter Tosh;119
Philharmonia Orchestra & Sir Neville Marriner;256
Philip Glass Ensemble;275
Pink Floyd;120
Planet Hemp;121
Queen;51
R.E.M.;124
R.E.M. Feat. KRS-One;123
R.E.M. Feat. Kate Pearson;122
Raimundos;125
Raul Seixas;126
Red Hot Chili Peppers;127
Regina Spektor;178
Richard Marlow & The Choir of Trinity College, Cambridge;207
Rodox;184
Roger Norrington, London Classical Players;261
Royal Philharmonic Orchestra & Sir Thomas Beecham;217
Rush;128
Sabotage E Instituto;194
Sandra De Sá;45
Santana;59
Santana Feat. Dave Matthews;60
Santana Feat. Eagle-Eye Cherry;66
Santana Feat. Eric Clapton;67
Santana Feat. Everlast;61
Santana Feat. Lauryn Hill & Cee-Lo;63
Santana Feat. Maná;65
Santana Feat. Rob Thomas;62
Santana Feat. The Project G&B;64
Scholars Baroque Ensemble;213
Scorpions;179
Sergei Prokofiev & Yuri Temirkanov;232
Seu Jorge;193
Simply Red;129
Sir Georg Solti & Wiener Philharmoniker;221
Sir Georg Solti, Sumi Jo & Wiener Philharmoniker;249
Skank;130
Smashing Pumpkins;131
Snow Patrol;172
Soundgarden;132
Spyro Gyra;53
Stereo Maracana;195
Stevie Ray Vaughan & Double Trouble;133
Stone Temple Pilots;134
System Of A Down;135
Temple of the Dog;204
Terry Bozzio, Tony Levin & Steve Stevens;136
The 12 Cellists of The Berlin Philharmonic;259
The Black Crowes;137
The Clash;138
The Cult;139
The Doors;140
The Flaming Lips;176
The King's Singers;247
The Office;156
The Police;141
The Posies;200
The Postal Service;174
The Rolling Stones;142
The Tea Party;143
The Who;144
Tim Maia;145
Titãs;146
Ton Koopman;231
Toquinho & Vinícius;70
U2;150
UB40;151
Van Halen;152
Various Artists;21
Velvet Revolver;153
Vinicius, Toquinho & Quarteto Em Cy;75
Vinícius De Moraes;72
Vinícius De Moraes & Baden Powell;71
Vinícius E Odette Lara;74
Vinícius E Qurteto Em Cy;73
Whitesnake;154
Wilhelm Kempff;211
Xis;181
Yehudi Menuhin;255
Yo-Yo Ma;212
Youssou N'Dour;168
Zeca Pagodinho;155
